blind_id,first_gaze_s,gaze_to_stimulus_latency_s,precue_fixation_0_1,offroad_dwell_total_s,longest_offroad_dwell_s,apparent_lean_in_0_1,approach_to_board_0_3,line_departure_0_2,notes,set,pid,route,event,qtype,target,strategy,collision,flag5s,start_s,content_end_s,cue_s,ans_s,collision_s,fg_raw,lat_entered,GLITCH,latency_s,precue_fixation_0_1_n,apparent_lean_in_0_1_n,approach_to_board_0_3_n,line_departure_0_2_n,no_acquisition,approach,lean,linedep,dualzoom,visualID
CLIP_1736BD,2.724,,0.0,,,0.0,0.0,0.0,,D,31_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,21.86,26.37,23.86,25.37,,2.724,,False,0.7240000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_1E5916,3.021,,0.0,,,0.0,0.0,0.0,,D,35_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,33.36,40.66,35.36,39.66,,3.021,,False,1.021,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_1E9072,,,0.0,,,0.0,,0.0,Name from working memory,C,26_RT,2,Q1,Name,Name1,Working_Memory,0,0,7.73,12.36,9.73,11.36,,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_211EFE,3.190,,0.0,,,0.0,,0.0,Name from visual search,C,09_RT,2,Q1,Name,Name1,Visual_Search,0,0,14.01,18.07,16.01,17.07,,3.19,,False,1.19,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_21AD6D,,,0.0,,,0.0,0.0,0.0,Didn’t look at target,B,35_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,39.5,44.06,41.5,43.06,,,,False,,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True
CLIP_21F753,,,0.0,,,0.0,1.0,1.0,Slowed to check ,D,11_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.78,15.87,10.78,14.87,,,,False,,0.0,0.0,1.0,1.0,True,1.0,0.0,1.0,0.0,True
CLIP_236388,3.321,,0.0,,,0.0,,0.0,Name from visual search,C,27_RT,2,Q1,Name,Name1,Visual_Search,0,0,11.39,16.0,13.39,15.0,,3.321,,False,1.3210000000000002,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_23C07A,,0,1.0,,,1.0,1.0,1.0,"fast approach (5mph), delayed taking the turn",D,16_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,16.73,21.74,18.73,20.74,,,0.0,False,0.0,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_23D46C,4.151,,0.0,,,0.0,,0.0,visual search for name,C,08_RT,2,Q1,Name,Name1,Visual_Search,0,0,8.87,14.49,10.87,13.49,,4.151,,False,2.151,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_266BC1,3.121,,0.0,,,0.0,,0.0,visual search for name,C,28_RT,2,Q1,Name,Name1,Visual_Search,0,0,9.64,13.86,11.64,12.86,,3.121,,False,1.121,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_26D764,2.737,,0.0,,,1.0,1.0,1.0,slowed right dow,D,27_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.59,15.25,10.59,14.25,,2.737,,False,0.7370000000000001,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_27EA51,, ,1.0,,,0.0,0.0,0.0,,B,23_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,35.49,39.91,37.49,38.91,,,,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_2B3CCE,3.495,,0.0,,,0.0,0.0,0.0,,D,26_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.52,13.99,10.52,12.99,,3.495,,False,1.495,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_2C9F04,,0,1.0,,,0.0,0.0,0.0,,B,28_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,28.77,33.07,30.77,32.07,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_2E1D71,0.964,,1.0,,,0.0,0.0,0.0,,D,13_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,56.92,61.82,58.92,60.82,,0.964,,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_2E741A,,0,1.0,,,0.0,0.0,0.0,low speed,B,06_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,50.7,54.88,52.7,53.88,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_302472,4.107,,0.0,,,0.0,1.0,1.0,major delay in turn,D,25_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,6.75,12.52,8.75,11.52,,4.107,,False,2.107,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_307EDA,,0,1.0,,,0.0,0.0,0.0,,D,19_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,38.46,42.66,40.46,41.66,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_30994B,,0,1.0,,,0.0,0.0,0.0,,D,24_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,31.14,35.45,33.14,34.45,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_341475,,0,1.0,,,0.0,0.0,0.0,,D,14_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,6.59,12.75,8.59,11.75,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_34F144,,0,1.0,,,0.0,0.0,0.0,,D,17_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,38.33,42.71,40.33,41.71,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_39F8B5,3.489,,0.0,,,0.0,1.0,1.0,stopped to read sign,D,04_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,14.67,22.19,16.67,21.19,,3.489,,False,1.489,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_4097B9,3.190,,0.0,,,0.0,0.0,0.0,,D,25_RT,3,Q3,Sign,Markings,Not_Applicable,1,1,21.39,25.78,23.39,24.78,29.42,3.19,,False,1.19,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_444F9F,,,0.0,,,0.0,,0.0,Name from working memory,C,02_RT,2,Q1,Name,Name1,Working_Memory,1,0,24.59,28.22,26.59,30.99,28.32,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_44FB08,3.763,,0.0,,,0.0,1.0,1.0,slowed right down to see sign,D,37_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.12,14.82,10.12,13.82,,3.763,,False,1.763,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_45EEA9,,,0.0,,,0.0,,0.0,Name from working memory,C,01_RT,2,Q1,Name,Name1,Working_Memory,0,0,5.09,10.99,7.09,9.99,,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_47D1F1,2.590,,0.0,,,0.0,0.0,0.0,,D,15_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,7.89,13.14,9.89,12.14,,2.59,,False,0.5899999999999999,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_4A91C5,3.158,,1.0,,,0.0,1.0,1.0,slowed right down to see squirrel,B,19_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,61.03,67.47,63.03,66.47,,3.158,,False,1.158,1.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_4DDD00,4.955,,0.0,,,0.0,1.0,1.0,minor delay in taking the turn,D,35_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.13,16.07,10.13,15.07,,4.955,,False,2.955,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_4DF081,1.679,,0.0,,,0.0,1.0,1.0,slowed right down to see rabbit,D,13_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,19.21,24.78,21.21,23.78,,1.679,,False,0.0,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_5046EE,3.443,,0.0,,,0.0,0.0,0.0,low speed,D,09_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,14.7,20.01,16.7,19.01,,3.443,,False,1.443,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_517256,3.048,,0.0,,,0.0,0.0,0.0,,D,29_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,20.53,25.02,22.53,24.02,,3.048,,False,1.048,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_53067F,3.246,,0.0,,,0.0,,0.0,Quick confirmation glance at Name. Probably from memory,C,16_RT,2,Q1,Name,Name1,Visual_Search,0,0,4.62,9.01,6.62,8.01,,3.246,,False,1.246,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_539DBE,2.943,,1.0,,,1.0,0.0,0.0,Lean to the left to get a look at the no markings sign,D,11_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,30.21,35.54,32.21,34.54,,2.943,,False,0.943,1.0,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,True
CLIP_574076,4.922,,0.0,,,1.0,,1.0,slowed down and delayed turn,C,30_RT,2,Q1,Name,Name1,Visual_Search,1,1,10.31,18.04,12.31,17.04,18.65,4.922,,False,2.9219999999999997,0.0,1.0,,1.0,False,0.0,1.0,1.0,0.0,False
CLIP_57F3C7,4.566,,0.0,,,1.0,0.0,1.0,slowed down to see the rabbit,D,34_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,5.88,11.84,7.88,10.84,,4.566,,False,2.566,0.0,1.0,0.0,1.0,False,0.0,1.0,1.0,0.0,True
CLIP_5887CF,3.957,,0.0,,,0.0,0.0,1.0,slowed down to see the squirrel and take the bend,B,10_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,46.54,52.68,48.54,51.68,,3.957,,False,1.957,0.0,0.0,0.0,1.0,False,0.0,0.0,1.0,0.0,True
CLIP_58AE3C,,,0.0,,,0.0,0.0,0.0,Name from working memory,C,17_RT,2,Q1,Name,Name1,Working_Memory,0,0,17.74,23.15,19.74,22.15,,,,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_58B634,2.968,,0.0,,,0.0,1.0,1.0,Slowed down to see the rabbit,D,19_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,10.66,15.95,12.66,14.95,,2.968,,False,0.968,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_5BE5A5,"4,284",,0.0,,,0.0,0.0,0.0,,D,36_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,194.67,200.97,196.67,199.97,,4.284,,False,2.284,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_5C89DD,3.986,,1.0,,,0.0,0.0,0.0,,D,12_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,36.9,41.67,38.9,40.67,,3.986,,False,1.986,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_5FFAB8,,,0.0,,,0.0,0.0,0.0,Name from working memory,C,12_RT,2,Q1,Name,Name1,Working_Memory,0,0,11.05,15.45,13.05,14.45,,,,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_60EEE0,,,0.0,,,0.0,0.0,1.0,"Looked at wrong stimuli, and the effort made them veer off track",A,36_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,33.91,38.86,35.91,37.86,41.22,,,False,,0.0,0.0,0.0,1.0,True,0.0,0.0,1.0,0.0,True
CLIP_650CB5,4.284,,0.0,,,1.0,0.0,0.0,Leaned a bit left to read the Markings sign,D,06_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,115.56,121.47,117.56,120.47,,4.284,,False,2.284,0.0,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,True
CLIP_65BE59,2.845,,0.0,,,1.0,1.0,1.0,slowed down to see the rabbit,D,16_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,2.15,8.65,4.15,7.65,,2.845,,False,0.8450000000000002,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_667750,5.714,,0.0,,,0.0,1.0,1.0,came to a crawl to see the rabbit,D,02_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,14.93,23.36,16.93,22.36,,5.714,,False,3.714,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_67E005,,0,1.0,,,0.0,0.0,1.0,minor delay in taking the turn,A,17_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,46.15,50.43,48.15,49.43,52.89,,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,1.0,0.0,True
CLIP_68D313,,0,1.0,,,0.0,0.0,0.0,,D,26_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,23.69,27.85,25.69,26.85,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_69975D,,0,1.0,,,0.0,0.0,0.0,,B,05_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,35.03,38.78,37.03,37.78,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_69E1E1,4.588,,0.0,,,1.0,,1.0,Attempting to confirm working memory by checking the NAME ,C,11_RT,2,Q1,Name,Name1,Working_Memory,0,0,13.81,19.17,15.81,18.17,,4.588,,False,2.588,0.0,1.0,,1.0,False,0.0,1.0,1.0,0.0,False
CLIP_6AC0AF,3.248,,1.0,,,0.0,0.0,0.0,Steady low speed,D,32_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,131.31,136.48,133.31,135.48,,3.248,,False,1.2480000000000002,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_71F0F8,3.286,,0.0,,,0.0,0.0,0.0,,D,29_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,5.01,10.17,7.01,9.17,,3.286,,False,1.286,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_7641E4,,0,1.0,,,1.0,1.0,1.0,leaning into see the squirrel,A,03_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,52.54,59.87,54.54,58.87,62.37,,0.0,False,0.0,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_7662D2,,0,1.0,,,1.0,0.0,1.0,delayed turn to see rabbit,D,22_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,5.99,10.48,7.99,9.48,,,0.0,False,0.0,1.0,1.0,0.0,1.0,False,0.0,1.0,1.0,0.0,True
CLIP_79FB28,3.852,,0.0,,,0.0,1.0,1.0,delayed turn to see squirrel - possible lean in. Hard to tell. ,A,37_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,30.86,37.25,32.86,36.25,39.14,3.852,,False,1.852,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_7A6A03,3.886,,0.0,,,0.0,0.0,0.0,Name from visual search,C,37_RT,2,Q1,Name,Name1,Visual_Search,0,0,8.08,13.49,10.08,12.49,,3.886,,False,1.886,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_7C4EA4,3.284,,0.0,,,0.0,0.0,0.0,,C,34_RT,2,Q1,Name,Name1,Visual_Search,1,1,7.75,12.26,9.75,11.26,14.03,3.284,,False,1.2839999999999998,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_7DC4D4,,0,1.0,,,0.0,0.0,1.0,minor delay in taking the turn,D,17_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,13.57,18.18,15.57,17.18,,,0.0,False,0.0,1.0,0.0,0.0,1.0,False,0.0,0.0,1.0,0.0,True
CLIP_7EB239,4.108,,0.0,,,1.0,1.0,1.0,delays turn to look at squirrel,B,33_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,21.65,29.36,23.65,28.36,,4.108,,False,2.1079999999999997,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_7FB941,2.633,,0.0,,,1.0,1.0,1.0,major delay in turn to look at squirrel,A,07_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,35.1,40.06,37.1,39.06,41.46,2.633,,False,0.633,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_82FD23,4.448,,0.0,,,0.0,,0.0,,C,13_RT,2,Q1,Name,Name1,Visual_Search,0,0,21.79,27.46,23.79,26.46,,4.448,,False,2.4480000000000004,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_86979D,,,0.0,,,0.0,,0.0,Name from working memory,C,18_RT,2,Q1,Name,Name1,Working_Memory,0,0,10.96,15.28,12.96,14.28,,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_86F792,3.065,,1.0,,,1.0,1.0,1.0,slows down and delays turn to look at rabbit,D,31_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,3.05,9.06,5.05,8.06,,3.065,,False,1.065,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_87AFC9,2.400,,1.0,,,1.0,0.0,0.0,"steady low speed, leaned to track squirrel but kept course",B,16_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,21.58,29.84,23.58,28.84,,2.4,,False,0.3999999999999999,1.0,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,True
CLIP_8B420C,2.990,,0.0,,,1.0,0.0,1.0,went from 4mph to 0 in order to see the rabbit sign,D,20_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,3.33,11.71,5.33,10.71,,2.99,,False,0.9900000000000002,0.0,1.0,0.0,1.0,False,0.0,1.0,1.0,0.0,True
CLIP_8DEAC7,3.429,,0.0,,,0.0,0.0,0.0,Name from visual search,C,33_RT,2,Q1,Name,Name1,Visual_Search,0,0,5.45,10.29,7.45,9.29,,3.429,,False,1.4289999999999998,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_905780,3.595,,0.0,,,0.0,0.0,0.0,,C,14_RT,2,Q1,Name,Name1,Visual_Search,0,0,11.7,16.5,13.7,15.5,,3.595,,False,1.5950000000000002,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_9102EA,,0,1.0,,,0.0,0.0,0.0,,D,28_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,20.18,25.31,22.18,24.31,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_929C4E,6.107,,0.0,,,1.0,1.0,1.0,minor delay in taking the turn to view squirrel,A,15_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,28.87,37.9,30.87,36.9,40.73,6.107,,False,4.107,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_952308,2.660,,0.0,,,1.0,0.0,1.0,slowed to stop to check squirrel sign,B,12_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,41.64,47.7,43.64,46.7,,2.66,,False,0.6600000000000001,0.0,1.0,0.0,1.0,False,0.0,1.0,1.0,0.0,True
CLIP_990665,,0,1.0,,,0.0,0.0,0.0,,D,14_RT,3,Q3,Sign,Markings,Not_Applicable,0,1,19.44,25.65,21.44,24.65,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_9A455C,3.246,,0.0,,,1.0,1.0,1.0,straightened up steering slowed and edged toward rabbit. Delayed turn,D,06_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,10.03,15.03,12.03,14.03,,3.246,,False,1.246,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_9DC64A,3.308,,1.0,,,,1.0,1.0,minor delay in turn to read markings sign,D,09_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,45.05,49.01,47.05,48.01,,3.308,,False,1.3079999999999998,1.0,,1.0,1.0,False,1.0,,1.0,0.0,True
CLIP_A090A8,,,0.0,,,0.0,0.0,0.0,Did not look at the sign,D,01_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,24.03,29.67,26.03,28.67,,,,False,,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,True
CLIP_A329A4,4.222,,0.0,,,0.0,,1.0,Slowed down to read name tag,C,06_RT,2,Q1,Name,Name1,Visual_Search,0,0,15.26,20.44,17.26,19.44,,4.222,,False,2.2220000000000004,0.0,0.0,,1.0,False,0.0,0.0,1.0,0.0,False
CLIP_A345F1,3.101,,0.0,,,1.0,1.0,1.0,delay turning to see squirrel,B,01_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,22.11,29.25,24.11,28.25,,3.101,,False,1.101,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_A4363B,,,0.0,,,1.0,1.0,1.0,attempt to slow down to see signs but miss them,D,07_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,7.23,12.93,9.23,11.93,,,,False,,0.0,1.0,1.0,1.0,True,1.0,1.0,1.0,1.0,True
CLIP_A541D3,,0,1.0,,,0.0,0.0,0.0,,D,04_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,41.07,47.66,43.07,46.66,,,0.0,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_A8B537,,,1.0,,,0.0,0.0,0.0,,D,22_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,24.86,29.51,26.86,28.51,,,,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_A9545E,,,,,,0.0,0.0,0.0,Name from working memory,C,19_RT,2,Q1,Name,Name1,Working_Memory,0,0,11.57,15.83,13.57,14.83,,,,False,,,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_A95696,3.098,,0.0,,,0.0,1.0,1.0,slowing for rabbit and minor delay in turning,D,08_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,8.87,13.95,10.87,12.95,,3.098,,False,1.098,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True
CLIP_A9E4A8,4.694,,1.0,,,1.0,1.0,1.0,slowed down to read markings sign. Minor delay in turn,D,10_RT,3,Q3,Sign,Markings,Not_Applicable,1,1,42.59,50.43,44.59,49.43,51.66,4.694,,False,2.694,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_AB9825,3.354,,0.0,,,0.0,,0.0,Name from visual search,C,10_RT,2,Q1,Name,Name1,Visual_Search,0,0,14.18,18.75,16.18,17.75,,3.354,,False,1.354,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_AD0486,,0,1.0,,,1.0,1.0,1.0,Leans in left and delays turn to read Markings sign,D,20_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,26.68,32.2,28.68,31.2,,,0.0,False,0.0,1.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True
CLIP_AD359E,,,0.0,,,0.0,,0.0,Name from working memory,C,05_RT,2,Q1,Name,Name1,Working_Memory,0,0,10.2,14.56,12.2,13.56,,,,False,,0.0,0.0,,0.0,False,0.0,0.0,0.0,0.0,False
CLIP_AF970F,2.976,,0.0,,,0.0,0.0,0.0,,D,34_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,27.62,36.7,29.62,35.7,,2.976,,False,0.976,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_B41B2C,,,1.0,,,0.0,0.0,0.0,,D,21_RT,3,Q3,Sign,Markings,Not_Applicable,1,1,25.58,29.59,27.58,28.59,32.22,,,False,0.0,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True
CLIP_B42489,3.901,,0.0,,,0.0,0.0,1.0,stopped to look at squirrel ,B,13_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,67.56,72.4,69.56,71.4,,3.901,,False,1.901,0.0,0.0,0.0,1.0,False,0.0,0.0,1.0,0.0,True
